"HatchDateJulYear","ID","FieldAge","CalcAge","AllSex","BNT","BW","BD","TEC","UB","UBS","TBS","Skull","Tarsus","Weight"
1993113,"IS STAD93",25,25,"",23.5,14.5,13.9,35.2,11.7,162.63,249.92,42.6,59.2,400
1993113,"JR STAD93",25,25,"",20.3,13.9,12.3,31.8,11.5,141.45,208.29,41.9,57.3,350
1993113,"KQ STAD93",25,25,"",21.3,12.9,12.6,33.5,12.2,153.72,213.5625,39.5,57.5,445
1993113,"LP STAD93",25,25,"",20.3,13.1,12.1,31,10.7,129.47,195.3,41,55.8,260
1993113,"MO STAD93",25,25,"",18.3,12.8,11,30.3,12,132,180.285,37.6,50.8,215
1993114,"NN KLIN93",25,25.7,"",23.2,14.1,13.5,37.6,14.4,194.4,259.44,42.2,62,420
1993114,"OM KLIN93",25,24.6,"",19.8,13.7,12.5,32.8,13,162.5,214.84,39.7,58.6,385
1993114,"PL KLIN93",25,25.3,"",21.5,13.8,12.9,33.6,12.1,156.09,224.28,41.8,58.6,410
1993116,"BN BROW93",29,26.8,"",24.1,13.9,13.6,36.7,12.6,171.36,252.3125,43,62.6,455
1993116,"CM BROW93",29,26.6,"",22.9,13.6,13.5,36.1,13.2,178.2,244.5775,40.3,61.8,435
1993116,"DL BROW93",29,27.4,"",23.4,13.4,12.6,36.4,13,163.8,236.6,42.8,58.9,420
